Cell Line Name,Primary Disease,"RNAi (Achilles+DRIVE+Marcotte, DEMETER2)",Expression 22Q1 Public
HUPT4,Pancreatic Cancer,-0.1775990618,4.584361253
LN382,Brain Cancer,-0.1849749457,5.054414388
JHESOAD1,Esophageal Cancer,-0.2743214506,4.240314329
JHH6,Liver Cancer,-0.4869216188,3.673556424
A375,Skin Cancer,-0.1991017029,4.744161096
CADOES1,Bone Cancer,-0.1007799661,5.759954742
ASPC1,Pancreatic Cancer,-0.277312404,4.221103725
U251MG,Brain Cancer,-0.1123389028,4.920769673
CAKI2,Kidney Cancer,-0.2428876637,4.832383717
PANC0403,Pancreatic Cancer,-0.3287977467,4.385431037
SW1417,Colon/Colorectal Cancer,-0.02261619762,5.15704371
JHOM1,Ovarian Cancer,-0.6527251012,5.435628594
SCC4,Head and Neck Cancer,-0.01106033778,3.860962798
HUG1N,Gastric Cancer,-0.1728266787,4.040892431
HCC1937,Breast Cancer,-0.1047189057,4.702103407
SNU1079,Bile Duct Cancer,0.2258965875,4.713145902
U178,Brain Cancer,-0.1434995019,4.981396032
DETROIT562,Head and Neck Cancer,-0.4715545954,4.034743949
SW579,Thyroid Cancer,-0.7614496351,4.708739041
PANC1,Pancreatic Cancer,-0.5394030082,4.157852169
NOMO1,Leukemia,-0.6183198721,4.846493316
RD,Sarcoma,-0.3163586712,5.697106574
PRECLH,Engineered,-0.1516186162,4.69543711
TM87,Rhabdoid,-0.4118613836,5.294988268
LOUNH91,Lung Cancer,-0.2069122352,5.234194723
NCIH660,Prostate Cancer,0.1583680562,5.462379572
HS766T,Pancreatic Cancer,-0.3448437603,4.040015679
L363,Myeloma,-0.3411380643,5.810186008
SCC25,Head and Neck Cancer,-0.2418800671,3.23572706
BHT101,Thyroid Cancer,-0.1171303419,4.169925001
MFE280,Endometrial/Uterine Cancer,-0.005378678619,5.271276259
HCC1599,Breast Cancer,-0.375616153,4.945326777
A204,Rhabdoid,-0.3519306443,4.694880193
COLO320,Colon/Colorectal Cancer,-0.00832835168,5.80503444
C8166,Lymphoma,-0.3354124228,5.094658343
DANG,Pancreatic Cancer,-0.2707634717,4.754353072
DKMG,Brain Cancer,-0.2047306127,4.600507645
SLR23,Kidney Cancer,0.483955766,4.902073579
OCUM1,Gastric Cancer,-0.2800622209,4.562547724
HS852T,Skin Cancer,-0.7116837823,4.596338864
HCC38,Breast Cancer,-0.1463553258,6.254367281
